Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
05/29/2019 11:00:00 AM,71,58
05/29/2019 12:00:00 PM,42,75
05/29/2019 01:00:00 PM,68,52
05/29/2019 02:00:00 PM,75,66
05/29/2019 03:00:00 PM,127,89
05/29/2019 04:00:00 PM,404,126
05/29/2019 05:00:00 PM,734,223
05/29/2019 06:00:00 PM,360,169
05/29/2019 07:00:00 PM,197,104
05/29/2019 08:00:00 PM,101,54
05/29/2019 09:00:00 PM,66,63
05/29/2019 10:00:00 PM,29,16
05/29/2019 11:00:00 PM,14,7
05/30/2019 12:00:00 AM,8,8
05/30/2019 01:00:00 AM,4,2
05/30/2019 02:00:00 AM,2,2
05/30/2019 03:00:00 AM,1,2
05/30/2019 04:00:00 AM,4,8
05/30/2019 05:00:00 AM,27,33
05/30/2019 06:00:00 AM,111,118
05/30/2019 07:00:00 AM,304,280
05/30/2019 08:00:00 AM,396,346
05/30/2019 09:00:00 AM,216,150
05/30/2019 10:00:00 AM,81,72
05/30/2019 11:00:00 AM,75,71
05/30/2019 12:00:00 PM,72,48
05/30/2019 01:00:00 PM,72,55
05/30/2019 02:00:00 PM,90,89
05/30/2019 03:00:00 PM,159,99
05/30/2019 04:00:00 PM,353,151
05/30/2019 05:00:00 PM,717,227
05/30/2019 06:00:00 PM,406,152
05/30/2019 07:00:00 PM,188,126
05/30/2019 08:00:00 PM,114,69
05/30/2019 09:00:00 PM,63,49
05/30/2019 10:00:00 PM,35,22
05/30/2019 11:00:00 PM,22,9
05/31/2019 12:00:00 AM,15,8
05/31/2019 01:00:00 AM,5,8
05/31/2019 02:00:00 AM,2,0
05/31/2019 03:00:00 AM,2,4
05/31/2019 04:00:00 AM,5,8
05/31/2019 05:00:00 AM,19,27
05/31/2019 06:00:00 AM,93,108
05/31/2019 07:00:00 AM,243,216
05/31/2019 08:00:00 AM,372,305
05/31/2019 09:00:00 AM,200,146
05/31/2019 10:00:00 AM,69,65
05/31/2019 11:00:00 AM,58,56
05/31/2019 12:00:00 PM,72,63
05/31/2019 01:00:00 PM,92,72
05/31/2019 02:00:00 PM,79,102
05/31/2019 03:00:00 PM,208,118
05/31/2019 04:00:00 PM,409,179
05/31/2019 05:00:00 PM,582,186
05/31/2019 06:00:00 PM,323,169
05/31/2019 07:00:00 PM,151,97
05/31/2019 08:00:00 PM,92,48
05/31/2019 09:00:00 PM,57,46
05/31/2019 10:00:00 PM,52,29
05/31/2019 11:00:00 PM,35,22
06/01/2019 12:00:00 AM,12,10
06/01/2019 01:00:00 AM,7,5
06/01/2019 02:00:00 AM,6,7
06/01/2019 03:00:00 AM,3,2
06/01/2019 04:00:00 AM,4,1
06/01/2019 05:00:00 AM,10,9
06/01/2019 06:00:00 AM,22,9
06/01/2019 07:00:00 AM,40,24
06/01/2019 08:00:00 AM,60,55
06/01/2019 09:00:00 AM,74,60
06/01/2019 10:00:00 AM,96,106
06/01/2019 11:00:00 AM,108,109
06/01/2019 12:00:00 PM,102,89
06/01/2019 01:00:00 PM,135,131
06/01/2019 02:00:00 PM,134,115
06/01/2019 03:00:00 PM,173,97
06/01/2019 04:00:00 PM,160,144
06/01/2019 05:00:00 PM,132,139
06/01/2019 06:00:00 PM,108,104
06/01/2019 07:00:00 PM,79,66
06/01/2019 08:00:00 PM,80,44
06/01/2019 09:00:00 PM,45,49
06/01/2019 10:00:00 PM,39,26
06/01/2019 11:00:00 PM,13,16
06/02/2019 12:00:00 AM,10,11
06/02/2019 01:00:00 AM,8,3
06/02/2019 02:00:00 AM,6,5
06/02/2019 03:00:00 AM,1,1
06/02/2019 04:00:00 AM,1,0
06/02/2019 05:00:00 AM,5,3
06/02/2019 06:00:00 AM,19,8
06/02/2019 07:00:00 AM,33,27
06/02/2019 08:00:00 AM,47,45
06/02/2019 09:00:00 AM,78,89
06/02/2019 10:00:00 AM,103,87
06/02/2019 11:00:00 AM,126,119
06/02/2019 12:00:00 PM,170,151
06/02/2019 01:00:00 PM,111,146
06/02/2019 02:00:00 PM,170,158
06/02/2019 03:00:00 PM,166,133
06/02/2019 04:00:00 PM,109,112
06/02/2019 05:00:00 PM,127,130
06/02/2019 06:00:00 PM,84,89
06/02/2019 07:00:00 PM,62,42
06/02/2019 08:00:00 PM,34,35
06/02/2019 09:00:00 PM,28,26
06/02/2019 10:00:00 PM,17,13
06/02/2019 11:00:00 PM,10,5
06/03/2019 12:00:00 AM,5,1
06/03/2019 01:00:00 AM,2,4
06/03/2019 02:00:00 AM,0,2
06/03/2019 03:00:00 AM,3,1
06/03/2019 04:00:00 AM,5,9
06/03/2019 05:00:00 AM,26,33
06/03/2019 06:00:00 AM,97,116
06/03/2019 07:00:00 AM,264,269
06/03/2019 08:00:00 AM,395,379
06/03/2019 09:00:00 AM,241,165
06/03/2019 10:00:00 AM,92,65
06/03/2019 11:00:00 AM,63,38
06/03/2019 12:00:00 PM,48,38
06/03/2019 01:00:00 PM,60,41
06/03/2019 02:00:00 PM,62,49
06/03/2019 03:00:00 PM,120,92
06/03/2019 04:00:00 PM,345,147
06/03/2019 05:00:00 PM,684,186
06/03/2019 06:00:00 PM,421,182
06/03/2019 07:00:00 PM,205,90
06/03/2019 08:00:00 PM,105,56
06/03/2019 09:00:00 PM,55,43
06/03/2019 10:00:00 PM,28,21
06/03/2019 11:00:00 PM,15,8
06/04/2019 12:00:00 AM,3,6
06/04/2019 01:00:00 AM,4,4
06/04/2019 02:00:00 AM,4,3
06/04/2019 03:00:00 AM,3,1
06/04/2019 04:00:00 AM,8,3
06/04/2019 05:00:00 AM,32,36
06/04/2019 06:00:00 AM,142,96
06/04/2019 07:00:00 AM,257,270
06/04/2019 08:00:00 AM,405,386
06/04/2019 09:00:00 AM,233,133
06/04/2019 10:00:00 AM,104,78
06/04/2019 11:00:00 AM,59,56
06/04/2019 12:00:00 PM,61,60
06/04/2019 01:00:00 PM,78,68
06/04/2019 02:00:00 PM,79,58
06/04/2019 03:00:00 PM,143,99
06/04/2019 04:00:00 PM,351,168
06/04/2019 05:00:00 PM,742,253
06/04/2019 06:00:00 PM,431,189
06/04/2019 07:00:00 PM,191,112
06/04/2019 08:00:00 PM,115,71
06/04/2019 09:00:00 PM,59,51
06/04/2019 10:00:00 PM,33,22
06/04/2019 11:00:00 PM,23,8
06/05/2019 12:00:00 AM,10,3
06/05/2019 01:00:00 AM,11,3
06/05/2019 02:00:00 AM,1,0
06/05/2019 03:00:00 AM,2,2
06/05/2019 04:00:00 AM,6,4
06/05/2019 05:00:00 AM,23,34
06/05/2019 06:00:00 AM,111,120
06/05/2019 07:00:00 AM,292,286
06/05/2019 08:00:00 AM,394,341
06/05/2019 09:00:00 AM,232,169
06/05/2019 10:00:00 AM,134,61
06/05/2019 11:00:00 AM,72,54
06/05/2019 12:00:00 PM,60,55
06/05/2019 01:00:00 PM,64,50
06/05/2019 02:00:00 PM,82,42
06/05/2019 03:00:00 PM,125,70
06/05/2019 04:00:00 PM,360,139
06/05/2019 05:00:00 PM,667,188
06/05/2019 06:00:00 PM,382,143
06/05/2019 07:00:00 PM,169,99
06/05/2019 08:00:00 PM,101,41
06/05/2019 09:00:00 PM,57,53
06/05/2019 10:00:00 PM,34,16
06/05/2019 11:00:00 PM,9,6
06/06/2019 12:00:00 AM,5,3
06/06/2019 01:00:00 AM,5,5
06/06/2019 02:00:00 AM,5,0
06/06/2019 03:00:00 AM,7,0
06/06/2019 04:00:00 AM,5,11
06/06/2019 05:00:00 AM,26,29
06/06/2019 06:00:00 AM,75,85
06/06/2019 07:00:00 AM,226,225
06/06/2019 08:00:00 AM,318,305
06/06/2019 09:00:00 AM,189,152
06/06/2019 10:00:00 AM,78,80
06/06/2019 11:00:00 AM,83,49
06/06/2019 12:00:00 PM,76,52
06/06/2019 01:00:00 PM,73,53
06/06/2019 02:00:00 PM,102,71
06/06/2019 03:00:00 PM,95,55
06/06/2019 04:00:00 PM,250,104
06/06/2019 05:00:00 PM,555,177
06/06/2019 06:00:00 PM,363,137
06/06/2019 07:00:00 PM,155,90
06/06/2019 08:00:00 PM,103,68
06/06/2019 09:00:00 PM,52,39
06/06/2019 10:00:00 PM,20,33
06/06/2019 11:00:00 PM,17,8
06/07/2019 12:00:00 AM,8,6
06/07/2019 01:00:00 AM,3,4
06/07/2019 02:00:00 AM,1,2
06/07/2019 03:00:00 AM,0,1
06/07/2019 04:00:00 AM,5,5
06/07/2019 05:00:00 AM,9,19
06/07/2019 06:00:00 AM,57,56
06/07/2019 07:00:00 AM,154,158
06/07/2019 08:00:00 AM,288,239
06/07/2019 09:00:00 AM,162,106
06/07/2019 10:00:00 AM,68,64
06/07/2019 11:00:00 AM,62,41
06/07/2019 12:00:00 PM,47,50
06/07/2019 01:00:00 PM,51,46
06/07/2019 02:00:00 PM,47,30
06/07/2019 03:00:00 PM,115,62
06/07/2019 04:00:00 PM,257,80
06/07/2019 05:00:00 PM,354,110
06/07/2019 06:00:00 PM,172,50
06/07/2019 07:00:00 PM,83,30
06/07/2019 08:00:00 PM,49,30
06/07/2019 09:00:00 PM,27,24
06/07/2019 10:00:00 PM,13,17
06/07/2019 11:00:00 PM,14,11
06/08/2019 12:00:00 AM,9,7
06/08/2019 01:00:00 AM,10,9
06/08/2019 02:00:00 AM,4,3
06/08/2019 03:00:00 AM,4,1
06/08/2019 04:00:00 AM,2,4
06/08/2019 05:00:00 AM,6,9
06/08/2019 06:00:00 AM,14,14
06/08/2019 07:00:00 AM,30,28
06/08/2019 08:00:00 AM,65,51
06/08/2019 09:00:00 AM,49,57
06/08/2019 10:00:00 AM,68,83
06/08/2019 11:00:00 AM,111,105
06/08/2019 12:00:00 PM,126,87
06/08/2019 01:00:00 PM,146,109
06/08/2019 02:00:00 PM,169,133
06/08/2019 03:00:00 PM,150,122
06/08/2019 04:00:00 PM,177,155
06/08/2019 05:00:00 PM,135,129
06/08/2019 06:00:00 PM,106,106
06/08/2019 07:00:00 PM,76,55
06/08/2019 08:00:00 PM,65,42
06/08/2019 09:00:00 PM,32,25
06/08/2019 10:00:00 PM,13,15
06/08/2019 11:00:00 PM,35,22
06/09/2019 12:00:00 AM,14,13
06/09/2019 01:00:00 AM,12,7
06/09/2019 02:00:00 AM,3,4
06/09/2019 03:00:00 AM,0,1
06/09/2019 04:00:00 AM,3,0
06/09/2019 05:00:00 AM,11,8
06/09/2019 06:00:00 AM,19,11
06/09/2019 07:00:00 AM,67,60
06/09/2019 08:00:00 AM,81,57
06/09/2019 09:00:00 AM,87,71
06/09/2019 10:00:00 AM,97,87
06/09/2019 11:00:00 AM,119,107
06/09/2019 12:00:00 PM,164,100
06/09/2019 01:00:00 PM,150,134
06/09/2019 02:00:00 PM,112,127
06/09/2019 03:00:00 PM,152,150
06/09/2019 04:00:00 PM,158,115
06/09/2019 05:00:00 PM,111,99
06/09/2019 06:00:00 PM,119,79
06/09/2019 07:00:00 PM,42,34
06/09/2019 08:00:00 PM,53,44
06/09/2019 09:00:00 PM,32,23
06/09/2019 10:00:00 PM,9,21
06/09/2019 11:00:00 PM,13,9
06/10/2019 12:00:00 AM,4,5
06/10/2019 01:00:00 AM,1,3
06/10/2019 02:00:00 AM,0,0
06/10/2019 03:00:00 AM,1,1
06/10/2019 04:00:00 AM,6,5
06/10/2019 05:00:00 AM,32,30
06/10/2019 06:00:00 AM,76,84
06/10/2019 07:00:00 AM,269,259
06/10/2019 08:00:00 AM,466,349
06/10/2019 09:00:00 AM,232,169
06/10/2019 10:00:00 AM,106,81
06/10/2019 11:00:00 AM,97,53
06/10/2019 12:00:00 PM,81,69
06/10/2019 01:00:00 PM,76,57
06/10/2019 02:00:00 PM,79,59
06/10/2019 03:00:00 PM,146,94
06/10/2019 04:00:00 PM,365,143
06/10/2019 05:00:00 PM,765,228
06/10/2019 06:00:00 PM,439,165
06/10/2019 07:00:00 PM,219,77
06/10/2019 08:00:00 PM,99,52
06/10/2019 09:00:00 PM,51,57
06/10/2019 10:00:00 PM,33,15
06/10/2019 11:00:00 PM,16,5
06/11/2019 12:00:00 AM,5,5
06/11/2019 01:00:00 AM,4,1
06/11/2019 02:00:00 AM,5,0
06/11/2019 03:00:00 AM,0,0
06/11/2019 04:00:00 AM,6,3
06/11/2019 05:00:00 AM,28,37
06/11/2019 06:00:00 AM,139,124
06/11/2019 07:00:00 AM,335,304
06/11/2019 08:00:00 AM,469,423
06/11/2019 09:00:00 AM,248,178
06/11/2019 10:00:00 AM,101,86
06/11/2019 11:00:00 AM,75,63
06/11/2019 12:00:00 PM,74,66
06/11/2019 01:00:00 PM,87,64
06/11/2019 02:00:00 PM,105,72
06/11/2019 03:00:00 PM,160,83
06/11/2019 04:00:00 PM,407,148
06/11/2019 05:00:00 PM,850,247
06/11/2019 06:00:00 PM,437,171
06/11/2019 07:00:00 PM,233,127
06/11/2019 08:00:00 PM,144,63
06/11/2019 09:00:00 PM,75,67
06/11/2019 10:00:00 PM,47,29
06/11/2019 11:00:00 PM,16,17
06/12/2019 12:00:00 AM,5,7
06/12/2019 01:00:00 AM,4,5
06/12/2019 02:00:00 AM,4,1
06/12/2019 03:00:00 AM,2,1
06/12/2019 04:00:00 AM,8,11
06/12/2019 05:00:00 AM,37,32
06/12/2019 06:00:00 AM,119,123
06/12/2019 07:00:00 AM,324,301
06/12/2019 08:00:00 AM,441,366
06/12/2019 09:00:00 AM,229,164
06/12/2019 10:00:00 AM,113,87
06/12/2019 11:00:00 AM,72,43
06/12/2019 12:00:00 PM,79,64
06/12/2019 01:00:00 PM,73,70
06/12/2019 02:00:00 PM,104,54
06/12/2019 03:00:00 PM,160,81
06/12/2019 04:00:00 PM,419,152
06/12/2019 05:00:00 PM,697,227
06/12/2019 06:00:00 PM,423,161
06/12/2019 07:00:00 PM,182,107
06/12/2019 08:00:00 PM,145,71
06/12/2019 09:00:00 PM,78,58
06/12/2019 10:00:00 PM,54,30
06/12/2019 11:00:00 PM,16,22
06/13/2019 12:00:00 AM,8,9
06/13/2019 01:00:00 AM,11,2
06/13/2019 02:00:00 AM,1,0
06/13/2019 03:00:00 AM,2,2
06/13/2019 04:00:00 AM,7,7
06/13/2019 05:00:00 AM,39,27
06/13/2019 06:00:00 AM,99,108
06/13/2019 07:00:00 AM,310,262
06/13/2019 08:00:00 AM,435,333
06/13/2019 09:00:00 AM,250,180
06/13/2019 10:00:00 AM,126,96
06/13/2019 11:00:00 AM,73,53
06/13/2019 12:00:00 PM,88,63
06/13/2019 01:00:00 PM,77,50
06/13/2019 02:00:00 PM,80,78
06/13/2019 03:00:00 PM,180,84
06/13/2019 04:00:00 PM,378,154
06/13/2019 05:00:00 PM,695,215
06/13/2019 06:00:00 PM,421,218
06/13/2019 07:00:00 PM,239,110
06/13/2019 08:00:00 PM,114,81
06/13/2019 09:00:00 PM,78,58
06/13/2019 10:00:00 PM,37,27
06/13/2019 11:00:00 PM,18,12
06/14/2019 12:00:00 AM,13,8
06/14/2019 01:00:00 AM,7,1
06/14/2019 02:00:00 AM,2,0
06/14/2019 03:00:00 AM,1,1
06/14/2019 04:00:00 AM,6,3
06/14/2019 05:00:00 AM,23,21
06/14/2019 06:00:00 AM,70,82
06/14/2019 07:00:00 AM,225,200
06/14/2019 08:00:00 AM,344,276
06/14/2019 09:00:00 AM,182,144
06/14/2019 10:00:00 AM,92,60
06/14/2019 11:00:00 AM,89,47
06/14/2019 12:00:00 PM,77,59
06/14/2019 01:00:00 PM,104,63
06/14/2019 02:00:00 PM,140,86
06/14/2019 03:00:00 PM,178,85
06/14/2019 04:00:00 PM,379,146
06/14/2019 05:00:00 PM,517,185
06/14/2019 06:00:00 PM,279,135
06/14/2019 07:00:00 PM,162,87
06/14/2019 08:00:00 PM,77,53
06/14/2019 09:00:00 PM,67,32
06/14/2019 10:00:00 PM,27,39
06/14/2019 11:00:00 PM,25,12
06/15/2019 12:00:00 AM,21,13
06/15/2019 01:00:00 AM,10,10
06/15/2019 02:00:00 AM,1,2
06/15/2019 03:00:00 AM,0,4
06/15/2019 04:00:00 AM,0,1
06/15/2019 05:00:00 AM,8,9
06/15/2019 06:00:00 AM,21,9
06/15/2019 07:00:00 AM,35,21
06/15/2019 08:00:00 AM,62,95
06/15/2019 09:00:00 AM,95,68
06/15/2019 10:00:00 AM,68,78
06/15/2019 11:00:00 AM,102,67
06/15/2019 12:00:00 PM,119,79
06/15/2019 01:00:00 PM,162,114
06/15/2019 02:00:00 PM,147,127
06/15/2019 03:00:00 PM,210,159
06/15/2019 04:00:00 PM,168,126
06/15/2019 05:00:00 PM,157,152
06/15/2019 06:00:00 PM,114,141
06/15/2019 07:00:00 PM,80,77
06/15/2019 08:00:00 PM,92,79
06/15/2019 09:00:00 PM,43,62
06/15/2019 10:00:00 PM,38,46
06/15/2019 11:00:00 PM,26,17
06/16/2019 12:00:00 AM,16,10
06/16/2019 01:00:00 AM,6,8
06/16/2019 02:00:00 AM,1,0
06/16/2019 03:00:00 AM,1,1
06/16/2019 04:00:00 AM,3,1
06/16/2019 05:00:00 AM,7,2
06/16/2019 06:00:00 AM,12,9
06/16/2019 07:00:00 AM,31,22
06/16/2019 08:00:00 AM,61,56
06/16/2019 09:00:00 AM,74,66
06/16/2019 10:00:00 AM,94,80
06/16/2019 11:00:00 AM,163,119
06/16/2019 12:00:00 PM,203,151
06/16/2019 01:00:00 PM,153,140
06/16/2019 02:00:00 PM,233,131
06/16/2019 03:00:00 PM,221,145
06/16/2019 04:00:00 PM,145,154
06/16/2019 05:00:00 PM,102,89
06/16/2019 06:00:00 PM,116,87
06/16/2019 07:00:00 PM,61,69
06/16/2019 08:00:00 PM,58,46
06/16/2019 09:00:00 PM,40,31
06/16/2019 10:00:00 PM,20,12
06/16/2019 11:00:00 PM,15,5
06/17/2019 12:00:00 AM,4,5
06/17/2019 01:00:00 AM,5,4
06/17/2019 02:00:00 AM,3,3
06/17/2019 03:00:00 AM,2,3
06/17/2019 04:00:00 AM,3,3
06/17/2019 05:00:00 AM,25,45
06/17/2019 06:00:00 AM,83,85
06/17/2019 07:00:00 AM,275,259
06/17/2019 08:00:00 AM,398,352
06/17/2019 09:00:00 AM,232,167
06/17/2019 10:00:00 AM,91,74
06/17/2019 11:00:00 AM,67,45
06/17/2019 12:00:00 PM,64,47
06/17/2019 01:00:00 PM,73,37
06/17/2019 02:00:00 PM,86,53
06/17/2019 03:00:00 PM,125,99
06/17/2019 04:00:00 PM,368,118
06/17/2019 05:00:00 PM,659,206
06/17/2019 06:00:00 PM,403,180
06/17/2019 07:00:00 PM,187,110
06/17/2019 08:00:00 PM,89,82
06/17/2019 09:00:00 PM,50,45
06/17/2019 10:00:00 PM,28,25
06/17/2019 11:00:00 PM,13,3
06/18/2019 12:00:00 AM,6,8
06/18/2019 01:00:00 AM,7,6
06/18/2019 02:00:00 AM,1,2
06/18/2019 03:00:00 AM,2,1
06/18/2019 04:00:00 AM,5,1
06/18/2019 05:00:00 AM,25,20
06/18/2019 06:00:00 AM,63,70
06/18/2019 07:00:00 AM,184,198
06/18/2019 08:00:00 AM,299,233
06/18/2019 09:00:00 AM,171,120
06/18/2019 10:00:00 AM,52,49
06/18/2019 11:00:00 AM,26,43
06/18/2019 12:00:00 PM,57,47
06/18/2019 01:00:00 PM,42,31
06/18/2019 02:00:00 PM,84,39
06/18/2019 03:00:00 PM,83,54
06/18/2019 04:00:00 PM,246,89
06/18/2019 05:00:00 PM,523,191
06/18/2019 06:00:00 PM,306,110
06/18/2019 07:00:00 PM,119,67
06/18/2019 08:00:00 PM,83,40
06/18/2019 09:00:00 PM,39,25
06/18/2019 10:00:00 PM,32,20
06/18/2019 11:00:00 PM,12,5
06/19/2019 12:00:00 AM,5,6
06/19/2019 01:00:00 AM,3,3
06/19/2019 02:00:00 AM,2,1
06/19/2019 03:00:00 AM,0,2
06/19/2019 04:00:00 AM,4,5
06/19/2019 05:00:00 AM,28,26
06/19/2019 06:00:00 AM,100,87
06/19/2019 07:00:00 AM,262,262
06/19/2019 08:00:00 AM,381,314
06/19/2019 09:00:00 AM,239,136
06/19/2019 10:00:00 AM,102,65
06/19/2019 11:00:00 AM,67,64
06/19/2019 12:00:00 PM,75,52
06/19/2019 01:00:00 PM,57,82
06/19/2019 02:00:00 PM,75,65
06/19/2019 03:00:00 PM,121,83
06/19/2019 04:00:00 PM,353,156
06/19/2019 05:00:00 PM,661,232
06/19/2019 06:00:00 PM,380,174
06/19/2019 07:00:00 PM,234,105
06/19/2019 08:00:00 PM,109,59
06/19/2019 09:00:00 PM,53,27
06/19/2019 10:00:00 PM,17,15
06/19/2019 11:00:00 PM,15,8
06/20/2019 12:00:00 AM,3,3
06/20/2019 01:00:00 AM,4,2
06/20/2019 02:00:00 AM,2,0
06/20/2019 03:00:00 AM,2,0
06/20/2019 04:00:00 AM,0,4
06/20/2019 05:00:00 AM,22,26
06/20/2019 06:00:00 AM,85,75
06/20/2019 07:00:00 AM,204,195
06/20/2019 08:00:00 AM,344,284
06/20/2019 09:00:00 AM,223,146
06/20/2019 10:00:00 AM,103,62
06/20/2019 11:00:00 AM,77,59
06/20/2019 12:00:00 PM,74,51
06/20/2019 01:00:00 PM,72,64
06/20/2019 02:00:00 PM,86,50
06/20/2019 03:00:00 PM,126,70
06/20/2019 04:00:00 PM,277,143
06/20/2019 05:00:00 PM,587,180
06/20/2019 06:00:00 PM,386,144
06/20/2019 07:00:00 PM,186,92
06/20/2019 08:00:00 PM,116,87
06/20/2019 09:00:00 PM,71,46
06/20/2019 10:00:00 PM,21,24
06/20/2019 11:00:00 PM,20,10
06/21/2019 12:00:00 AM,8,2
06/21/2019 01:00:00 AM,5,7
06/21/2019 02:00:00 AM,3,2
06/21/2019 03:00:00 AM,1,1
06/21/2019 04:00:00 AM,4,3
06/21/2019 05:00:00 AM,17,27
06/21/2019 06:00:00 AM,75,65
06/21/2019 07:00:00 AM,180,202
06/21/2019 08:00:00 AM,315,232
06/21/2019 09:00:00 AM,189,124
06/21/2019 10:00:00 AM,101,61
06/21/2019 11:00:00 AM,102,41
06/21/2019 12:00:00 PM,83,64
06/21/2019 01:00:00 PM,81,73
06/21/2019 02:00:00 PM,126,63
06/21/2019 03:00:00 PM,159,96
06/21/2019 04:00:00 PM,346,133
06/21/2019 05:00:00 PM,503,156
06/21/2019 06:00:00 PM,226,113
06/21/2019 07:00:00 PM,183,93
06/21/2019 08:00:00 PM,93,86
06/21/2019 09:00:00 PM,60,40
06/21/2019 10:00:00 PM,27,28
06/21/2019 11:00:00 PM,27,22
06/22/2019 12:00:00 AM,25,14
06/22/2019 01:00:00 AM,11,11
06/22/2019 02:00:00 AM,1,1
06/22/2019 03:00:00 AM,3,0
06/22/2019 04:00:00 AM,12,3
06/22/2019 05:00:00 AM,8,9
06/22/2019 06:00:00 AM,25,11
06/22/2019 07:00:00 AM,45,29
06/22/2019 08:00:00 AM,58,54
06/22/2019 09:00:00 AM,112,62
06/22/2019 10:00:00 AM,148,91
06/22/2019 11:00:00 AM,171,84
06/22/2019 12:00:00 PM,109,83
06/22/2019 01:00:00 PM,41,67
06/22/2019 02:00:00 PM,23,20
06/22/2019 03:00:00 PM,122,104
06/22/2019 04:00:00 PM,140,113
06/22/2019 05:00:00 PM,137,128
06/22/2019 06:00:00 PM,117,115
06/22/2019 07:00:00 PM,89,89
06/22/2019 08:00:00 PM,47,51
06/22/2019 09:00:00 PM,40,46
06/22/2019 10:00:00 PM,22,43
06/22/2019 11:00:00 PM,25,19
06/23/2019 12:00:00 AM,19,26
06/23/2019 01:00:00 AM,9,5
06/23/2019 02:00:00 AM,5,0
06/23/2019 03:00:00 AM,1,1
06/23/2019 04:00:00 AM,4,1
06/23/2019 05:00:00 AM,6,2
06/23/2019 06:00:00 AM,13,7
06/23/2019 07:00:00 AM,19,18
06/23/2019 08:00:00 AM,11,26
06/23/2019 09:00:00 AM,36,39
06/23/2019 10:00:00 AM,51,35
06/23/2019 11:00:00 AM,69,67
06/23/2019 12:00:00 PM,76,75
06/23/2019 01:00:00 PM,106,63
06/23/2019 02:00:00 PM,97,56
06/23/2019 03:00:00 PM,117,88
06/23/2019 04:00:00 PM,110,75
06/23/2019 05:00:00 PM,72,68
06/23/2019 06:00:00 PM,59,51
06/23/2019 07:00:00 PM,27,27
06/23/2019 08:00:00 PM,24,29
06/23/2019 09:00:00 PM,15,11
06/23/2019 10:00:00 PM,10,6
06/23/2019 11:00:00 PM,11,8
06/24/2019 12:00:00 AM,4,3
06/24/2019 01:00:00 AM,1,1
06/24/2019 02:00:00 AM,5,1
06/24/2019 03:00:00 AM,0,0
06/24/2019 04:00:00 AM,4,2
06/24/2019 05:00:00 AM,24,26
06/24/2019 06:00:00 AM,86,82
06/24/2019 07:00:00 AM,224,200
06/24/2019 08:00:00 AM,363,323
06/24/2019 09:00:00 AM,196,133
06/24/2019 10:00:00 AM,71,47
06/24/2019 11:00:00 AM,59,31
06/24/2019 12:00:00 PM,41,49
06/24/2019 01:00:00 PM,70,49
06/24/2019 02:00:00 PM,74,68
06/24/2019 03:00:00 PM,112,76
06/24/2019 04:00:00 PM,317,131
06/24/2019 05:00:00 PM,654,190
06/24/2019 06:00:00 PM,403,169
06/24/2019 07:00:00 PM,168,108
06/24/2019 08:00:00 PM,101,93
06/24/2019 09:00:00 PM,56,43
06/24/2019 10:00:00 PM,35,25
06/24/2019 11:00:00 PM,18,12
06/25/2019 12:00:00 AM,5,4
06/25/2019 01:00:00 AM,0,0
06/25/2019 02:00:00 AM,1,2
06/25/2019 03:00:00 AM,3,1
06/25/2019 04:00:00 AM,3,6
06/25/2019 05:00:00 AM,32,34
06/25/2019 06:00:00 AM,109,97
06/25/2019 07:00:00 AM,285,275
06/25/2019 08:00:00 AM,449,389
06/25/2019 09:00:00 AM,233,190
06/25/2019 10:00:00 AM,98,88
06/25/2019 11:00:00 AM,78,62
06/25/2019 12:00:00 PM,89,61
06/25/2019 01:00:00 PM,81,55
06/25/2019 02:00:00 PM,91,69
06/25/2019 03:00:00 PM,175,87
06/25/2019 04:00:00 PM,354,152
06/25/2019 05:00:00 PM,795,257
06/25/2019 06:00:00 PM,455,189
06/25/2019 07:00:00 PM,232,119
06/25/2019 08:00:00 PM,78,59
06/25/2019 09:00:00 PM,52,58
06/25/2019 10:00:00 PM,44,29
06/25/2019 11:00:00 PM,24,11
06/26/2019 12:00:00 AM,9,4
06/26/2019 01:00:00 AM,5,3
06/26/2019 02:00:00 AM,2,0
06/26/2019 03:00:00 AM,1,4
06/26/2019 04:00:00 AM,7,3
06/26/2019 05:00:00 AM,27,27
06/26/2019 06:00:00 AM,89,97
06/26/2019 07:00:00 AM,268,272
06/26/2019 08:00:00 AM,388,310
06/26/2019 09:00:00 AM,202,156
06/26/2019 10:00:00 AM,92,75
06/26/2019 11:00:00 AM,68,70
06/26/2019 12:00:00 PM,68,61
06/26/2019 01:00:00 PM,87,51
06/26/2019 02:00:00 PM,102,59
06/26/2019 03:00:00 PM,146,94
06/26/2019 04:00:00 PM,280,111
06/26/2019 05:00:00 PM,591,179
06/26/2019 06:00:00 PM,357,134
06/26/2019 07:00:00 PM,163,56
06/26/2019 08:00:00 PM,91,49
06/26/2019 09:00:00 PM,60,44
06/26/2019 10:00:00 PM,21,27
06/26/2019 11:00:00 PM,17,5
06/27/2019 12:00:00 AM,6,9
06/27/2019 01:00:00 AM,4,1
06/27/2019 02:00:00 AM,2,2
06/27/2019 03:00:00 AM,1,2
06/27/2019 04:00:00 AM,2,4
06/27/2019 05:00:00 AM,23,24
06/27/2019 06:00:00 AM,77,53
06/27/2019 07:00:00 AM,155,149
06/27/2019 08:00:00 AM,282,192
06/27/2019 09:00:00 AM,158,108
06/27/2019 10:00:00 AM,84,46
06/27/2019 11:00:00 AM,70,48
06/27/2019 12:00:00 PM,65,39
